1	0	25	25	2	18	17	0	2	0	14	?	1	1	0	0	0	1	0	1	?	10.000	18	60	20	1	1	0	?	0	0	270	250
1	1	15	15	?	?	?	?	0	0	1	?	1	1	0	1	0	1	0	0	?	5.000	8	105	15	1	1	0	?	1	1	1040	50
1	0	18	18	?	?	?	?	0	0	3	?	1	1	?	0	0	1	0	0	?	10.000	4	150	?	1	1	0	?	1	1	270	150
1	0	21	21	?	?	?	?	0	0	9	?	1	1	0	0	0	1	0	1	?	19.000	68	220	130	1	1	0	?	1	1	550	480
1	0	17	17	?	?	?	?	0	0	7	?	1	1	0	1	0	1	0	1	?	10.000	150	250	?	1	1	0	?	1	1	885	100
1	0	18	18	?	?	?	?	0	0	4	?	1	1	0	0	0	0	0	1	?	3.000	16	105	?	1	1	0	?	1	1	178	50
2	0	56	20	?	?	?	?	0	0	5	?	1	1	0	1	0	1	0	0	0	7.174	49	1113	169	1	1	?	1	1	0	363	2548
2	1	42	9	?	?	?	?	0	0	8	?	1	1	0	0	0	1	0	0	0	4.230	22	431	47	1	1	?	1	1	0	180	320
2	1	38	5	?	?	?	?	0	0	6	?	1	1	0	1	0	1	0	0	0	8.653	36	413	20	1	1	?	1	1	0	517	425
2	0	41	8	?	?	?	?	0	0	1	?	1	1	0	0	0	0	0	0	0	3.165	14	212	?	1	1	?	1	1	0	178	635
2	1	38	9	?	?	?	?	0	0	8	?	1	1	0	0	0	0	0	0	0	2.880	21	182	8	1	1	?	1	1	0	185	500
2	0	56	23	5	165	102	16	2	0	6	?	1	1	0	1	0	0	0	0	0	10.991	72	691	?	1	1	?	1	1	0	1296	50
2	0	21	16	3	55	43	4	2	0	2	?	1	1	0	1	0	1	0	0	0	4.295	23	92	25	1	1	?	1	1	0	724	360
2	0	53	20	?	?	?	?	0	0	3	?	1	1	0	0	0	0	0	0	0	2.330	32	577	14	1	1	?	1	1	0	282	807
2	0	49	16	?	?	?	?	0	0	2	?	1	0	0	1	0	0	1	0	0	8.388	42	970	48	1	1	?	1	1	0	296	370
2	0	40	7	?	?	?	?	0	0	6	?	1	1	0	0	0	0	0	0	0	3.872	23	296	16	1	1	?	1	1	0	191	504
2	0	43	10	?	?	?	?	0	0	2	?	1	1	0	0	0	0	0	0	0	885	11	135	78	1	1	?	1	1	0	68	26
2	0	36	3	5	98	80	16	2	0	3	2	1	1	?	1	0	0	1	0	0	4.785	39	382	26	1	1	?	1	1	0	995	1600
2	0	53	20	5	82	56	10	1	0	3	?	1	1	0	0	0	0	1	0	0	4.624	26	585	96	1	1	?	1	1	0	328	852
2	0	35	8	?	?	?	?	0	0	5	6	1	1	0	0	0	1	0	0	0	3.670	20	228	?	1	1	?	1	1	0	157	25
2	0	41	8	?	?	?	?	0	0	0	7	1	1	0	0	0	0	0	0	0	2.425	13	114	30	1	1	?	1	1	0	60	275
3	0	82	24	2	25	31	1	1	0	0.5	?	1	1	0	0	0	1	0	0	0	11.770	65	250	150	?	?	0	?	1	0	598	1700
