  1 March     31   1 1  6  0  1 1 4 0 March     31   1 0  6 11 0 0 0 0
  2 April      2   3 1  8  5  1 1 3 0 April      1   2 0 10  3 1 0 0 0
  3 April      3   4 1  5 13  0 1 2 0 April      2   3 0  8  7 1 0 0 0
  4 April      4   5 1  8  6  1 1 3 0 April      3   4 1  6  2 1 0 0 0
  5 April      5   6 1  7  8  0 0 0 0 April      4   5 1  3  1 1 1 1 0
  6 April      7   8 0 12 11  1 0 0 0 April      5   6 1  7  2 1 0 0 0
  7 April      8   9 0 13  9  1 0 0 0 April      6   7 1  3  2 1 0 0 0
  8 April      9  10 0  7  5  1 0 0 0 April      7   8 1  2  3 0 0 0 0
  9 April     10  11 0  3  5  0 0 0 0 April      9  10 1  8  7 1 0 0 0
 10 April     11  12 0  7  2  1 0 0 0 April     10  11 0 13  0 1 0 0 0
 11 April     12  13 0  1  2  0 0 0 0 April     11  12 0  4  5 0 1 1 0
 12 April     13  14 0  2  8  0 0 0 0 April     12  13 0  1  4 0 0 0 0
 13 April     14  15 1 15  5  1 3 5 0 April     14  15 0  0  6 0 0 0 0
 14 April     16  17 1  2  8  0 0 0 0 April     15  16 0  1  2 0 1 1 0
 15 April     16  17 1  5  4  1 0 0 1 April     16  17 0  8  4 1 0 0 0
 16 April     17  18 1  8  5  1 1 2 0 April     17  18 1  3 11 0 0 0 0
 17 April     18  19 1  6  5  1 0 0 0 April     18  19 1  8  1 1 0 0 0
 18 April     19  20 1  3  2  1 0 0 0 April     19  20 1  2  1 1 0 0 0
 19 April     21  22 0  5  3  1 1 2 0 April     21  22 1  5  3 1 0 0 0
 20 April     22  23 0  2  3  0 0 0 0 April     22  23 1  2  3 0 0 0 0
 21 April     23  24 0  2  5  0 0 0 1 April     23  24 1  1  4 0 1 1 0
 22 April     24  25 0  4  8  0 0 0 0 April     24  25 0  4 12 0 1 1 0
 23 April     25  26 0  8  5  1 1 1 0 April     25  26 0  2  3 0 0 0 0
 24 April     26  27 0  3  9  0 0 0 0 April     26  27 0  3  4 0 0 0 0
 25 April     27  28 1  7  0  1 0 0 0 April     27  28 0  3  1 1 1 2 0
 26 April     29  30 1 13  7  1 0 0 0 April     28  29 0  3  7 0 0 0 0
 27 April     30  31 0  3  8  0 1 2 0 April     30  31 1  8  3 1 0 0 0
 28 May        1  32 0  5  6  0 1 2 0 May        1  32 1  6  5 1 0 0 0
 29 May        2  33 0  3  4  0 0 0 0 May        2  33 1  4  3 1 0 0 0
 30 May        3  34 0  8  5  1 0 0 0 May        3  34 1  5  8 0 1 1 0
