  45.7    28.4    34.4     0.0   29.95   26.70    5.00    5.29    13.8    37.5   
  48.9    35.6    37.6    0.05   29.71   26.50    5.20    2.99    10.2    40.8   
  43.9    35.6    36.8     0.1   29.69   26.49    5.70    5.18    13.8    39.3   
  42.4    26.6    25.5     0.0   29.95   26.73    8.70    5.41    11.3    35.6   
  42.1    20.7    24.8     0.0   30.22   26.93    6.60    0.92    8.06    29.5   
  39.7    23.4    28.2     0.0   30.22   26.95    4.50    1.15    5.87    32.2   
  52.2    24.8    30.7     0.0   30.27   26.99    3.70    0.58    4.72    35.3   
  54.3    22.5    29.5     0.0   30.33   27.04    3.50    0.69    5.87    34.9   
  50.7    22.6    28.5     0.0   30.26   26.98    3.60    2.65    16.1    32.1   
  47.3    21.9    28.8     0.0   30.11   26.83    5.30    2.30    9.21    33.5   
  48.6    23.0    29.5    0.05   30.00   26.75    5.40    1.27    5.87    35.6   
  41.7    30.2    32.8     0.2   30.15   26.90    2.20    1.84    9.21    35.3   
  50.0    30.2    33.8     0.0   30.17   26.90    4.80    3.80    13.8    37.9   
  49.3    28.8    31.2     0.0   30.01   26.77    7.60    7.02    16.1    37.5   
  41.0    32.0    35.7    0.05   29.73   26.51    5.90    4.49    13.8    38.7   
  39.6    26.6    30.4    0.05   29.81   26.58    6.70    6.90    13.8    36.1   
  43.2    21.7    28.1     0.0   30.18   26.91    4.20    0.69    4.72    32.6   
  52.5    26.6    31.0     0.0   30.38   27.11    4.10    1.15    8.06    37.4   
  52.7    27.3    32.0    0.05   30.27   26.99    5.30    3.80    11.3    38.6   
  48.2    24.8    28.4     0.0   30.23   26.97    7.30    3.68    9.21    37.2   
  38.1    22.6    27.4     0.0   30.06   26.77    3.30    0.46    4.72    30.3   
  35.6    24.8    26.2     0.2   30.06   26.80    6.80    7.48    13.8    32.2   
  36.7    19.0    17.5     0.0   30.26   26.95    8.10    4.72    10.2    26.4   
  41.0    15.8    16.4     0.0   30.10   26.79    6.80    1.73    20.8    26.9   
  42.8    19.4    22.0    0.05   30.01   26.73    5.00    2.30    10.2    30.3   
  46.4    19.0    22.6    0.05   30.04   26.73    5.20    4.26    13.8    29.6   
  48.2    18.9    24.9     0.0   30.03   26.77    6.30    3.34    11.3    33.5   
  47.1    28.4    31.4    0.05   29.89   26.69    7.10    4.83    25.3    37.6   
  44.2    36.3    35.8    0.05   29.61   26.42    8.10    4.83    11.3    40.2   
  40.6    30.2    30.6     0.4   29.69   26.49    7.80    7.83    11.3    36.1   
  34.2    26.4    23.9     0.0   29.87   26.62    8.20    8.75    14.9    30.3   
  34.2    21.2    20.3     0.0   30.04   26.76    8.10    5.98    12.7    27.5   
  34.2    17.6    18.7    0.05   30.26   26.95    7.70    5.52    10.2    25.5   
  37.4    17.6    19.5    0.05   30.23   26.93    7.30    5.06    12.7    27.0   
  40.3    16.9    24.6    0.05   30.12   26.83    8.50    4.37    13.8    30.7   
  48.9    26.6    30.5     0.0   30.14   26.89    7.00    4.60    14.9    38.3   
  50.0    24.1    27.6     0.4   30.26   26.97    5.80    0.92    4.72    35.8   
  46.8    23.0    28.5    0.05   29.97   26.72    6.10    4.03    13.8    35.0   
  43.2    33.8    34.0     0.1   29.84   26.61    7.30    4.03    8.06    37.5   
  42.4    30.2    30.1     0.0   30.04   26.79    8.40    7.83    13.8    35.8   
  39.9    24.1    24.8    0.05   29.94   26.69    8.00    9.55    14.9    32.0   
  39.9    31.6    31.9     0.0   29.74   26.52    5.20    3.34    10.2    35.5   
  43.2    32.0    32.5     0.0   29.73   26.52    6.20    7.83    14.9    37.0   
  35.6    28.4    28.3     0.0   29.86   26.62    6.70    9.78    13.8    32.2   
  29.5    24.8    23.3    0.05   30.13   26.83    7.60    12.2    31.0    26.5   
  39.2    22.6    19.9     0.1   29.95   26.67    4.00    14.3    18.3    25.0   
  28.4     6.8    10.5     0.2   30.27   26.93    8.40    6.10    12.7    20.1   
  30.2    -2.2     4.8     0.0   30.57   27.16    5.40    0.69    8.06    13.1   
  39.2    -0.8    12.2     0.0   30.56   27.18    3.70    0.46    4.72    18.9   
  42.1    14.7    18.8     0.0   30.26   26.96    6.40    2.30    10.2    26.2   
  45.3    19.2    24.6     0.0   30.09   26.80    6.20    0.81    6.90    31.1   
  34.2    26.6    29.6     0.0   29.96   26.70    1.90    0.00    3.34    31.7   
  46.0    30.2    31.9     0.0   29.90   26.65    5.70    3.22    12.7    35.2   
  44.6    30.9    32.2     0.0   29.97   26.73    7.00    1.96    6.90    37.4   
  48.6    26.6    30.0    0.05   30.03   26.77    5.30    2.99    8.06    36.9   
  42.8    30.9    34.6    0.05   29.92   26.69    10.3    4.60    13.8    37.6   
  45.0    33.8    34.9     0.4   29.93   26.70    8.20    6.44    18.3    39.2   
  45.7    28.0    25.0     0.2   30.20   26.93    8.60    5.18    12.7    36.1   
  50.4    22.6    27.4     0.0   30.22   26.95    5.80    2.30    8.06    35.2   
  59.4    22.3    28.8     0.0   30.23   26.96    6.10    2.30    10.2    40.5   
  63.5    26.2    29.7    0.05   30.24   26.97    6.80    2.07    8.06    43.4   
  61.2    28.4    31.6     0.0   30.03   26.80    7.50    3.91    12.7    43.8   
  48.7    30.2    33.0     0.0   29.98   26.75    7.90    3.57    10.2    40.2   
  41.0    33.8    31.7     0.4   29.79   26.58    8.80    14.7    32.2    37.2   
  37.8    24.8    20.4     0.1   29.87   26.65    9.40    13.3    19.4    32.1   
  39.4    17.6    18.3    0.05   30.09   26.80    9.50    4.49    10.2    28.1   
  40.1    22.6    23.9    0.05   30.04   26.77    8.10    3.34    8.06    33.2   
  43.2    30.2    24.5     0.0   29.98   26.73    8.30    7.50   13.80    36.6   
  39.2    28.4    23.6     0.0   30.04   26.78    8.80    10.5    14.9    34.1   
  44.6    27.0    23.7     0.0   30.02   26.76    8.70    12.2    17.2    34.4   
  35.6    24.8    20.2     0.0   29.96   26.72    9.10    11.0    23.0    31.0   
  34.7    27.9    23.7     0.0   30.02   26.75    8.50    5.64    10.2    31.3   
  50.0    30.2    26.1    0.05   29.95   26.72    9.20    8.63    13.8    40.2   
  54.0    28.0    29.5     0.0   30.02   26.80    9.60    5.41    16.1    41.1   
